file,type,priority,error,suggestion,context,action
120-cp.signed_qlyBTP_processed.json,Ký tự lạ,THẤP,®,[Xóa hoặc thay thế],"...sÀ ” LAI - r ^ ^ lẠ ® MÀ z"",  ""diem"": []...",
124-cp.signed.-tôn giáopdf_processed.json,Có thể sai chính tả,TRUNG BÌNH,điêm,điểm,"...cơ câu tổ chức, địa điêm dự kiên đặt trụ sở....",
127-cp.signed._tài sản côngpdf_processed.json,Ký tự lạ,THẤP,»,[Xóa hoặc thay thế],"...ỨC, ĐƠN VỊ sÀ > ” 2 » LA. > A^ M 4 °"",  ...",
127-cp.signed._tài sản côngpdf_processed.json,Ký tự lạ,THẤP,⁄,[Xóa hoặc thay thế],"...quan thuộc Chính phŠ⁄z@8 - HĐND, UBND cá...",
127-cp.signed._tài sản côngpdf_processed.json,Ký tự lạ,THẤP,§,[Xóa hoặc thay thế],"...oi_dung"": ""Quản lý, § ứ dụng và khai thá...",
127-cp.signed._tài sản côngpdf_processed.json,Ký tự lạ,THẤP,‹,[Xóa hoặc thay thế],...hoản 4 Điều 22 Nghị ‹ định số 08/2025/NĐ...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,n0n,[Cần xem ảnh gốc],.......G.nnnnnnnnnnnnnnnnnnn Ennnn0n 0010110101005. Tên bằng tiếng...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ô8H,[Cần xem ảnh gốc],... 90 6Ô 5 ò 60 6 00 00908 05606ô8HmnG80mø2Senô0N2GS9A2.8..0..CAC...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,G80m,[Cần xem ảnh gốc],...Ô 5 ò 60 6 00 00908 05606ô8HmnG80mø2Senô0N2GS9A2.8..0..CAC06.t0....,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ô0N,[Cần xem ảnh gốc],...6 00 00908 05606ô8HmnG80mø2Senô0N2GS9A2.8..0..CAC06.t0...s.69m0...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,S9A,[Cần xem ảnh gốc],...00908 05606ô8HmnG80mø2Senô0N2GS9A2.8..0..CAC06.t0...s.69m0.ohAs...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,o9s,[Cần xem ảnh gốc],"...0...s.69m0.ohAs.6,pp. dứdsøgø,o9s°sp.osooosoessesoeaseeseoeseso...",
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,E1E,[Cần xem ảnh gốc],...nnnneEnnEn0 1066668 nEEnn EEnEE1E00910000009300020090 1655 - Gi...,
143-cp.signed_BGD_processed.json,Số lẫn chữ (OCR),CAO,ô000e,[Cần xem ảnh gốc],...S9880260002026066062904.02o2.ôô000e2mxâ08sS4eestÁnodpodÔstapseooo...,
